segment_id,endpoint,angle_deg,side,x_input,y_input,z_input,x_mm,y_mm,z_mm,signed_r_mm,radial_r_mm,z_from_bottom_mm
0,0,30,positive,0.14316399532,-0.104563303006,-0.0303324696934,143.16399532,-104.563303006,-30.3324696934,5.85620590396,5.85620590396,0.553530328866
0,1,30,positive,0.143381647051,-0.10443764172,-0.0303738663843,143.381647051,-104.43764172,-30.3738663843,6.10752847501,6.10752847501,0.51213363804
1,0,30,positive,0.14380726114,-0.104191913312,-0.0245318511605,143.80726114,-104.191913312,-24.5318511605,6.59898529286,6.59898529286,6.35414886182
1,1,30,positive,0.143779586179,-0.104207891458,-0.0245274664925,143.779586179,-104.207891458,-24.5274664925,6.56702900045,6.56702900045,6.35853352977
2,0,30,positive,0.14331812838,-0.104474314242,-0.024413935592,143.31812838,-104.474314242,-24.413935592,6.03418343188,6.03418343188,6.47206443032
2,1,30,positive,0.143779586179,-0.104207891458,-0.0245274664925,143.779586179,-104.207891458,-24.5274664925,6.56702900045,6.56702900045,6.35853352977
3,0,30,positive,0.14331812838,-0.104474314242,-0.024413935592,143.31812838,-104.474314242,-24.413935592,6.03418343188,6.03418343188,6.47206443032
3,1,30,positive,0.143265917095,-0.104504458441,-0.0243967135294,143.265917095,-104.504458441,-24.3967135294,5.97389503302,5.97389503302,6.48928649286
4,0,30,positive,0.143265917095,-0.104504458441,-0.0243967135294,143.265917095,-104.504458441,-24.3967135294,5.97389503302,5.97389503302,6.48928649286
4,1,30,positive,0.143172232404,-0.104558547323,-0.0243317026904,143.172232404,-104.558547323,-24.3317026904,5.86571726959,5.86571726959,6.55429733185
5,0,30,positive,0.139478436384,-0.10669116145,-0.0303510319314,139.478436384,-106.69116145,-30.3510319314,1.60048901616,1.60048901616,0.534968090849
5,1,30,positive,0.139360289006,-0.10675937387,-0.0303523586675,139.360289006,-106.75937387,-30.3523586675,1.46406417576,1.46406417576,0.53364135482
6,0,30,positive,0.139360289006,-0.10675937387,-0.0303523586675,139.360289006,-106.75937387,-30.3523586675,1.46406417576,1.46406417576,0.53364135482
6,1,30,positive,0.139226981394,-0.106836339056,-0.0303597438208,139.226981394,-106.836339056,-30.3597438208,1.3101338046,1.3101338046,0.526256201469
7,0,30,positive,0.138578609811,-0.107210676564,-0.0303917515807,138.578609811,-107.210676564,-30.3917515807,0.561458788274,0.561458788274,0.4942484416
7,1,30,positive,0.139226981394,-0.106836339056,-0.0303597438208,139.226981394,-106.836339056,-30.3597438208,1.3101338046,1.3101338046,0.526256201469
8,0,30,positive,0.14316399532,-0.104563303006,-0.0303324696934,143.16399532,-104.563303006,-30.3324696934,5.85620590396,5.85620590396,0.553530328866
8,1,30,positive,0.142105932135,-0.10517417607,-0.0303417316976,142.105932135,-105.17417607,-30.3417316976,4.63445977513,4.63445977513,0.544268324663
9,0,30,positive,0.142011289333,-0.105228818118,-0.0303558352952,142.011289333,-105.228818118,-30.3558352952,4.52517568014,4.52517568014,0.530164727123
9,1,30,positive,0.142105932135,-0.10517417607,-0.0303417316976,142.105932135,-105.17417607,-30.3417316976,4.63445977513,4.63445977513,0.544268324663
10,0,30,positive,0.141787116096,-0.105358244597,-0.030347303015,141.787116096,-105.358244597,-30.347303015,4.26632272293,4.26632272293,0.538697007278
10,1,30,positive,0.142011289333,-0.105228818118,-0.0303558352952,142.011289333,-105.228818118,-30.3558352952,4.52517568014,4.52517568014,0.530164727123
11,0,30,positive,0.141787116096,-0.105358244597,-0.030347303015,141.787116096,-105.358244597,-30.347303015,4.26632272293,4.26632272293,0.538697007278
11,1,30,positive,0.140943244172,-0.105845454279,-0.0302896999219,140.943244172,-105.845454279,-30.2896999219,3.2919033577,3.2919033577,0.59630010039
12,0,30,positive,0.140631590359,-0.106025387692,-0.0302957122179,140.631590359,-106.025387692,-30.2957122179,2.93203653255,2.93203653255,0.590287804415
12,1,30,positive,0.140943244172,-0.105845454279,-0.0302896999219,140.943244172,-105.845454279,-30.2896999219,3.2919033577,3.2919033577,0.59630010039
13,0,30,positive,0.140631590359,-0.106025387692,-0.0302957122179,140.631590359,-106.025387692,-30.2957122179,2.93203653255,2.93203653255,0.590287804415
13,1,30,positive,0.140198052963,-0.106275690624,-0.0303245092208,140.198052963,-106.275690624,-30.3245092208,2.43143066813,2.43143066813,0.561490801463
14,0,30,positive,0.139478436384,-0.10669116145,-0.0303510319314,139.478436384,-106.69116145,-30.3510319314,1.60048901616,1.60048901616,0.534968090849
14,1,30,positive,0.140198052963,-0.106275690624,-0.0303245092208,140.198052963,-106.275690624,-30.3245092208,2.43143066813,2.43143066813,0.561490801463
15,0,30,positive,0.138092372237,-0.107491405958,-0.0303865153224,138.092372237,-107.491405958,-30.3865153224,0,0,0.499484699907
15,1,30,positive,0.138578609811,-0.107210676564,-0.0303917515807,138.578609811,-107.210676564,-30.3917515807,0.561458788274,0.561458788274,0.4942484416
16,0,30,positive,0.142954908531,-0.10468401932,-0.0242618273499,142.954908531,-104.68401932,-24.2618273499,5.61477327605,5.61477327605,6.62417267239
16,1,30,positive,0.143172232404,-0.104558547323,-0.0243317026904,143.172232404,-104.558547323,-24.3317026904,5.86571726959,5.86571726959,6.55429733185
17,0,30,positive,0.142646700483,-0.104861963319,-0.0242947271145,142.646700483,-104.861963319,-24.2947271145,5.25888527755,5.25888527755,6.59127290784
17,1,30,positive,0.142954908531,-0.10468401932,-0.0242618273499,142.954908531,-104.68401932,-24.2618273499,5.61477327605,5.61477327605,6.62417267239
18,0,30,positive,0.142646700483,-0.104861963319,-0.0242947271145,142.646700483,-104.861963319,-24.2947271145,5.25888527755,5.25888527755,6.59127290784
18,1,30,positive,0.142398446174,-0.105005293012,-0.0243427651527,142.398446174,-105.005293012,-24.3427651527,4.97222589256,4.97222589256,6.54323486959
19,0,30,positive,0.142398446174,-0.105005293012,-0.0243427651527,142.398446174,-105.005293012,-24.3427651527,4.97222589256,4.97222589256,6.54323486959
19,1,30,positive,0.142314911157,-0.105053521976,-0.0243623529317,142.314911157,-105.053521976,-24.3623529317,4.87576796399,4.87576796399,6.52364709057
20,0,30,positive,0.142314911157,-0.105053521976,-0.0243623529317,142.314911157,-105.053521976,-24.3623529317,4.87576796399,4.87576796399,6.52364709057
20,1,30,positive,0.142267249948,-0.105081039188,-0.0243830404338,142.267249948,-105.081039188,-24.3830404338,4.82073354061,4.82073354061,6.50295958846
21,0,30,positive,0.141398675448,-0.105582510909,-0.0244497561665,141.398675448,-105.582510909,-24.4497561665,3.81779009723,3.81779009723,6.43624385583
21,1,30,positive,0.142267249948,-0.105081039188,-0.0243830404338,142.267249948,-105.081039188,-24.3830404338,4.82073354061,4.82073354061,6.50295958846
22,0,30,positive,0.141398675448,-0.105582510909,-0.0244497561665,141.398675448,-105.582510909,-24.4497561665,3.81779009723,3.81779009723,6.43624385583
22,1,30,positive,0.141218561452,-0.105686499774,-0.0244554252806,141.218561452,-105.686499774,-24.4554252806,3.60981236884,3.60981236884,6.4305747417
23,0,30,positive,0.140228851776,-0.106257908921,-0.0245321510939,140.228851776,-106.257908921,-24.5321510939,2.46699407319,2.46699407319,6.35384892844
23,1,30,positive,0.140677806504,-0.105998704788,-0.0244342866028,140.677806504,-105.998704788,-24.4342866028,2.98540233969,2.98540233969,6.45171341945
24,0,30,positive,0.139807012595,-0.106501457886,-0.0244279371324,139.807012595,-106.501457886,-24.4279371324,1.9798961439,1.9798961439,6.45806288989
24,1,30,positive,0.140228851776,-0.106257908921,-0.0245321510939,140.228851776,-106.257908921,-24.5321510939,2.46699407319,2.46699407319,6.35384892844
25,0,30,positive,0.140776637896,-0.105941644457,-0.0244281603034,140.776637896,-105.941644457,-24.4281603034,3.09952300171,3.09952300171,6.4578397189
25,1,30,positive,0.141218561452,-0.105686499774,-0.0244554252806,141.218561452,-105.686499774,-24.4554252806,3.60981236884,3.60981236884,6.4305747417
26,0,30,positive,0.140776637896,-0.105941644457,-0.0244281603034,140.776637896,-105.941644457,-24.4281603034,3.09952300171,3.09952300171,6.4578397189
26,1,30,positive,0.140723104681,-0.105972551873,-0.0244301207836,140.723104681,-105.972551873,-24.4301207836,3.03770816924,3.03770816924,6.45587923873
27,0,30,positive,0.140723104681,-0.105972551873,-0.0244301207836,140.723104681,-105.972551873,-24.4301207836,3.03770816924,3.03770816924,6.45587923873
27,1,30,positive,0.140677806504,-0.105998704788,-0.0244342866028,140.677806504,-105.998704788,-24.4342866028,2.98540233969,2.98540233969,6.45171341945
28,0,30,positive,0.139807012595,-0.106501457886,-0.0244279371324,139.807012595,-106.501457886,-24.4279371324,1.9798961439,1.9798961439,6.45806288989
28,1,30,positive,0.139737041195,-0.106541855892,-0.0244310808469,139.737041195,-106.541855892,-24.4310808469,1.89910013121,1.89910013121,6.45491917539
29,0,30,positive,0.139630742859,-0.106603227266,-0.0244684597496,139.630742859,-106.603227266,-24.4684597496,1.77635738465,1.77635738465,6.41754027268
29,1,30,positive,0.139737041195,-0.106541855892,-0.0244310808469,139.737041195,-106.541855892,-24.4310808469,1.89910013121,1.89910013121,6.45491917539
30,0,30,positive,0.139252025297,-0.106821879952,-0.024648915257,139.252025297,-106.821879952,-24.648915257,1.33905201281,1.33905201281,6.23708476528
30,1,30,positive,0.139630742859,-0.106603227266,-0.0244684597496,139.630742859,-106.603227266,-24.4684597496,1.77635738465,1.77635738465,6.41754027268
31,0,30,positive,0.139252025297,-0.106821879952,-0.024648915257,139.252025297,-106.821879952,-24.648915257,1.33905201281,1.33905201281,6.23708476528
31,1,30,positive,0.139027443533,-0.106951542294,-0.0246942809051,139.027443533,-106.951542294,-24.6942809051,1.07972732868,1.07972732868,6.19171911718
32,0,30,negative,0.138092372237,-0.107491405958,-0.0246964624861,138.092372237,-107.491405958,-24.6964624861,-6.93889390391e-15,6.93889390391e-15,6.18953753617
32,1,30,positive,0.139027443533,-0.106951542294,-0.0246942809051,139.027443533,-106.951542294,-24.6942809051,1.07972732868,1.07972732868,6.19171911718
33,0,30,positive,0.186098173976,-0.0797752434016,0.00409463644621,186.098173976,-79.7752434016,4.09463644621,55.4323251129,55.4323251129,34.9806364685
33,1,30,positive,0.1862172712,-0.0797064825873,0.0044759263535,186.2172712,-79.7064825873,4.4759263535,55.5698467413,55.5698467413,35.3619263758
34,0,30,positive,0.187403974272,-0.079021339249,0.00793564972608,187.403974272,-79.021339249,7.93564972608,56.9401334179,56.9401334179,38.8216497484
34,1,30,positive,0.187370526961,-0.079040650063,0.0078140480667,187.370526961,-79.040650063,7.8140480667,56.9015117899,56.9015117899,38.700048089
35,0,30,positive,0.186961939725,-0.0792765480137,0.00645770294226,186.961939725,-79.2765480137,6.45770294226,56.4297158886,56.4297158886,37.3437029645
35,1,30,positive,0.187370526961,-0.079040650063,0.0078140480667,187.370526961,-79.040650063,7.8140480667,56.9015117899,56.9015117899,38.700048089
36,0,30,positive,0.186597358246,-0.079487039229,0.00539560545875,186.597358246,-79.487039229,5.39560545875,56.0087334579,56.0087334579,36.281605481
36,1,30,positive,0.1862172712,-0.0797064825873,0.0044759263535,186.2172712,-79.7064825873,4.4759263535,55.5698467413,55.5698467413,35.3619263758
37,0,30,positive,0.186961939725,-0.0792765480137,0.00645770294226,186.961939725,-79.2765480137,6.45770294226,56.4297158886,56.4297158886,37.3437029645
37,1,30,positive,0.186637876335,-0.0794636460993,0.00549007244744,186.637876335,-79.4636460993,5.49007244744,56.0555197174,56.0555197174,36.3760724697
38,0,30,positive,0.186597358246,-0.079487039229,0.00539560545875,186.597358246,-79.487039229,5.39560545875,56.0087334579,56.0087334579,36.281605481
38,1,30,positive,0.186637876335,-0.0794636460993,0.00549007244744,186.637876335,-79.4636460993,5.49007244744,56.0555197174,56.0555197174,36.3760724697
39,0,30,positive,0.18798662169,-0.0786849476052,0.00959410041288,187.98662169,-78.6849476052,9.59410041288,57.6129167056,57.6129167056,40.4801004352
39,1,30,positive,0.187844782508,-0.0787668384956,0.00922433734855,187.844782508,-78.7668384956,9.22433734855,57.4491349248,57.4491349248,40.1103373708
40,0,30,positive,0.187424074993,-0.0790097340924,0.00799507168615,187.424074993,-79.0097340924,7.99507168615,56.9633437312,56.9633437312,38.8810717084
40,1,30,positive,0.187403974272,-0.079021339249,0.00793564972608,187.403974272,-79.021339249,7.93564972608,56.9401334179,56.9401334179,38.8216497484
